,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
FEMALE,1,18810,0.50,0.50,0.00,0.50,0.00,0.00,1.00,1.00,0.01,-2.00,0.00
IMMI1GEN,2,18271,0.05,0.22,0.00,0.00,0.00,0.00,1.00,1.00,4.04,14.35,0.00
IMMI2GEN,3,18271,0.11,0.31,0.00,0.01,0.00,0.00,1.00,1.00,2.53,4.39,0.00
ESCS,4,18336,0.35,0.84,0.51,0.42,0.83,-6.73,3.90,10.63,-0.77,1.04,0.01
HOMESCH,5,15529,0.02,0.91,0.00,0.01,0.60,-2.70,3.32,6.01,0.69,3.95,0.01
USESCH,6,15388,0.42,0.79,0.38,0.38,0.55,-2.54,3.35,5.89,0.73,4.38,0.01
ENTUSE,7,16227,0.02,0.88,-0.08,-0.04,0.54,-3.59,4.24,7.84,1.52,9.71,0.01
JOYREAD,8,18126,-0.30,1.07,-0.27,-0.31,0.94,-2.73,2.66,5.39,0.08,0.48,0.01
SCREADCOMP,9,17397,0.25,0.99,0.12,0.25,0.86,-2.44,1.88,4.32,0.03,-0.23,0.01
READEASE,10,17395,0.10,1.01,0.07,0.10,0.72,-2.78,1.89,4.66,-0.14,0.15,0.01
Average PV,11,18810,502.87,97.41,508.50,505.77,101.18,150.22,791.43,641.21,-0.27,-0.28,0.71
