,,group1,n,mean,sd,median,min,max,skew,kurtosis,n,mean,sd,median,min,max,skew,kurtosis,n,mean,sd,median,min,max,skew,kurtosis
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEMALE,208,7657,0.5,0.5,0,0,1,0.01,-2,5649,0.49,0.5,0,0,1,0.04,-2,5504,0.5,0.5,1,0,1,-0.01,-2
,IMMI1GEN,208,7409,0.04,0.19,0,0,1,4.96,22.57,5524,0.03,0.18,0,0,1,5.28,25.88,5338,0.09,0.29,0,0,1,2.79,5.8
,IMMI2GEN,208,7409,0.17,0.38,0,0,1,1.73,0.99,5524,0.02,0.15,0,0,1,6.18,36.23,5338,0.1,0.31,0,0,1,2.59,4.71
,ESCS,208,7431,0.39,0.84,0.56,-6.73,3.89,-0.89,1.31,5557,0.3,0.79,0.42,-4.24,3.28,-0.51,0.25,5348,0.36,0.89,0.54,-5.48,3.9,-0.84,1.29
,HOMESCH,208,6038,0.17,0.83,0.13,-2.7,3.32,0.82,5.51,4888,-0.28,0.89,-0.23,-2.3,3.31,0.46,3.1,4603,0.15,0.94,0.07,-2.3,3.31,0.99,3.94
,USESCH,208,5939,0.62,0.68,0.56,-1.79,3.35,1.29,6.13,4873,0.18,0.75,0.13,-1.72,3.3,1.13,4.92,4576,0.4,0.88,0.36,-2.54,3.27,0.37,3.75
,ENTUSE,208,6358,0.05,0.87,-0.06,-3.59,4.24,1.62,9.53,5050,-0.04,0.81,-0.1,-3.59,4.24,1.02,9.7,4819,0.04,0.95,-0.07,-3.59,4.24,1.69,9.28
,JOYREAD,208,7341,-0.34,1.02,-0.33,-2.73,2.66,0.07,0.66,5489,-0.25,1.11,-0.24,-2.71,2.66,0.13,0.29,5296,-0.32,1.1,-0.27,-2.73,2.66,0.03,0.4
,SCREADCOMP,208,6781,0.31,0.94,0.12,-2.44,1.88,0.13,-0.22,5396,0.09,1,0.12,-2.44,1.88,0.11,-0.12,5220,0.32,1.04,0.12,-2.44,1.88,-0.12,-0.36
,READEASE,208,6773,0.13,0.93,0.07,-2.78,1.89,-0.01,0.28,5407,0.11,1.05,0.07,-2.78,1.89,-0.2,0.06,5215,0.05,1.07,0.07,-2.78,1.89,-0.15,-0.03
,Read,208,7657,488.08,91.18,493.13,188.7,745.94,-0.18,-0.37,5649,520.33,96.13,528.27,150.22,791.43,-0.39,-0.09,5504,505.53,103.7,512.42,157.07,774.58,-0.34,-0.29
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEMALE,246,5649,0.49,0.5,0,0,1,0.04,-2,,,,,,,,,,,,,,,,
,IMMI1GEN,246,5524,0.03,0.18,0,0,1,5.28,25.88,,,,,,,,,,,,,,,,
,IMMI2GEN,246,5524,0.02,0.15,0,0,1,6.18,36.23,,,,,,,,,,,,,,,,
,ESCS,246,5557,0.3,0.79,0.42,-4.24,3.28,-0.51,0.25,,,,,,,,,,,,,,,,
,HOMESCH,246,4888,-0.28,0.89,-0.23,-2.3,3.31,0.46,3.1,,,,,,,,,,,,,,,,
,USESCH,246,4873,0.18,0.75,0.13,-1.72,3.3,1.13,4.92,,,,,,,,,,,,,,,,
,ENTUSE,246,5050,-0.04,0.81,-0.1,-3.59,4.24,1.02,9.7,,,,,,,,,,,,,,,,
,JOYREAD,246,5489,-0.25,1.11,-0.24,-2.71,2.66,0.13,0.29,,,,,,,,,,,,,,,,
,SCREADCOMP,246,5396,0.09,1,0.12,-2.44,1.88,0.11,-0.12,,,,,,,,,,,,,,,,
,READEASE,246,5407,0.11,1.05,0.07,-2.78,1.89,-0.2,0.06,,,,,,,,,,,,,,,,
,Read,246,5649,520.33,96.13,528.27,150.22,791.43,-0.39,-0.09,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEMALE,752,5504,0.5,0.5,1,0,1,-0.01,-2,,,,,,,,,,,,,,,,
,IMMI1GEN,752,5338,0.09,0.29,0,0,1,2.79,5.8,,,,,,,,,,,,,,,,
,IMMI2GEN,752,5338,0.1,0.31,0,0,1,2.59,4.71,,,,,,,,,,,,,,,,
,ESCS,752,5348,0.36,0.89,0.54,-5.48,3.9,-0.84,1.29,,,,,,,,,,,,,,,,
,HOMESCH,752,4603,0.15,0.94,0.07,-2.3,3.31,0.99,3.94,,,,,,,,,,,,,,,,
,USESCH,752,4576,0.4,0.88,0.36,-2.54,3.27,0.37,3.75,,,,,,,,,,,,,,,,
,ENTUSE,752,4819,0.04,0.95,-0.07,-3.59,4.24,1.69,9.28,,,,,,,,,,,,,,,,
,JOYREAD,752,5296,-0.32,1.1,-0.27,-2.73,2.66,0.03,0.4,,,,,,,,,,,,,,,,
,SCREADCOMP,752,5220,0.32,1.04,0.12,-2.44,1.88,-0.12,-0.36,,,,,,,,,,,,,,,,
,READEASE,752,5215,0.05,1.07,0.07,-2.78,1.89,-0.15,-0.03,,,,,,,,,,,,,,,,
,Read,752,5504,505.53,103.7,512.42,157.07,774.58,-0.34,-0.29,,,,,,,,,,,,,,,,
